,el,er,ia,sr
173,5.0,-4.0,3.0,0.0
174,4.0,4.0,3.0,0.0
175,2.0,8.0,1.0,0.0
176,1.0,10.0,0.0,0.0
177,8.0,-12.0,7.0,0.0
178,1.0,10.0,0.0,0.0
179,1.0,10.0,0.0,0.0
180,2.0,8.0,1.0,0.0
181,2.0,8.0,1.0,0.0
182,5.0,-6.0,4.0,0.0
183,1.0,10.0,0.0,0.0
184,2.0,8.0,1.0,0.0
185,1.0,10.0,0.0,0.0
186,3.0,6.0,2.0,0.0
187,2.0,8.0,1.0,0.0
188,1.0,10.0,0.0,0.0
189,1.0,10.0,0.0,0.0
190,1.0,10.0,0.0,0.0
191,5.0,-6.0,4.0,0.0
192,3.0,-2.0,2.0,0.0
193,5.0,2.0,4.0,0.0
194,1.0,10.0,0.0,0.0
195,1.0,10.0,0.0,0.0
196,2.0,0.0,1.0,0.0
197,9.0,-8.0,5.0,0.0
198,3.0,-10.0,2.0,0.0
199,2.0,8.0,1.0,0.0
200,1.0,10.0,0.0,0.0
201,3.0,-2.0,2.0,0.0
202,1.0,10.0,0.0,0.0
203,3.0,6.0,2.0,0.0
204,2.0,0.0,1.0,0.0
205,3.0,-2.0,2.0,0.0
206,5.0,6.0,2.0,0.0
207,11.0,-30.0,7.0,0.0
208,1.0,10.0,0.0,0.0
209,2.0,8.0,1.0,0.0
210,8.0,-6.0,4.0,0.0
211,3.0,-2.0,2.0,0.0
212,1.0,10.0,0.0,0.0
213,1.0,10.0,0.0,0.0
214,2.0,8.0,1.0,0.0
215,3.0,-2.0,2.0,0.0
216,1.0,10.0,0.0,0.0
217,1.0,10.0,0.0,0.0
218,1.0,10.0,0.0,0.0
219,5.0,-2.0,2.0,0.0
220,1.0,10.0,0.0,0.0
221,1.0,10.0,0.0,0.0
222,1.0,10.0,0.0,0.0
223,2.0,8.0,1.0,0.0
224,2.0,8.0,1.0,0.0
225,1.0,10.0,0.0,0.0
226,1.0,10.0,0.0,0.0
227,2.0,8.0,1.0,0.0
228,2.0,8.0,1.0,0.0
229,1.0,10.0,0.0,0.0
230,1.0,10.0,0.0,0.0
231,3.0,-2.0,2.0,0.0
232,2.0,8.0,1.0,0.0
233,3.0,6.0,2.0,0.0
234,3.0,6.0,2.0,0.0
235,11.0,-30.0,7.0,0.0
236,1.0,10.0,0.0,0.0
237,2.0,8.0,1.0,0.0
238,2.0,8.0,1.0,0.0
239,1.0,10.0,0.0,0.0
240,1.0,10.0,0.0,0.0
241,11.0,-20.0,10.0,0.0
242,1.0,10.0,0.0,0.0
243,2.0,10.0,0.0,0.0
