#{"t_start": 1661764146.6402292, "env_id": "PandaRlEnvironmentPush-v0"}
r,l,t
8,2,11.47293
10,1,27.516332
10,2,67.513412
10,1,76.186364
10,1,84.331294
10,1,92.719162
10,1,105.831461
10,2,136.768846
10,1,145.484626
10,1,154.292956
10,1,171.77482
10,1,179.836644
10,1,187.628508
