,el,er,ia,sr
168,11.0,-22.0,11.0,0.0
169,11.0,-18.0,9.0,0.0
170,11.0,-28.0,10.0,0.0
171,11.0,-22.0,11.0,0.0
172,11.0,-28.0,10.0,0.0
173,11.0,-30.0,11.0,0.0
174,11.0,-22.0,11.0,0.0
175,11.0,-22.0,11.0,0.0
176,11.0,-20.0,10.0,0.0
177,11.0,-22.0,11.0,0.0
178,11.0,-20.0,10.0,0.0
179,11.0,-22.0,11.0,0.0
180,11.0,-18.0,9.0,0.0
181,11.0,-30.0,11.0,0.0
182,11.0,-30.0,11.0,0.0
183,11.0,-16.0,8.0,0.0
184,11.0,-30.0,11.0,0.0
185,11.0,-22.0,11.0,0.0
186,11.0,-22.0,11.0,0.0
187,11.0,-20.0,10.0,0.0
188,11.0,-22.0,11.0,0.0
189,11.0,-22.0,11.0,0.0
190,11.0,-30.0,11.0,0.0
191,11.0,-22.0,11.0,0.0
192,11.0,-22.0,11.0,0.0
193,11.0,-22.0,11.0,0.0
194,11.0,-28.0,10.0,0.0
195,11.0,-22.0,11.0,0.0
196,11.0,-22.0,11.0,0.0
197,11.0,-18.0,9.0,0.0
198,11.0,-22.0,11.0,0.0
199,11.0,-14.0,8.0,0.0
200,11.0,-22.0,11.0,0.0
201,11.0,-22.0,11.0,0.0
202,11.0,-22.0,11.0,0.0
203,11.0,-28.0,10.0,0.0
204,11.0,-22.0,11.0,0.0
205,11.0,-22.0,11.0,0.0
206,11.0,-30.0,11.0,0.0
207,11.0,-30.0,11.0,0.0
208,11.0,-22.0,11.0,0.0
209,11.0,-30.0,11.0,0.0
210,11.0,-22.0,11.0,0.0
211,11.0,-22.0,11.0,0.0
212,11.0,-22.0,11.0,0.0
213,11.0,-30.0,11.0,0.0
214,11.0,-28.0,10.0,0.0
215,11.0,-30.0,11.0,0.0
216,11.0,-22.0,11.0,0.0
217,11.0,-20.0,10.0,0.0
218,11.0,-22.0,11.0,0.0
219,11.0,-22.0,11.0,0.0
220,11.0,-22.0,11.0,0.0
221,11.0,-30.0,11.0,0.0
222,11.0,-20.0,10.0,0.0
223,11.0,-22.0,11.0,0.0
224,11.0,-30.0,11.0,0.0
225,11.0,-22.0,11.0,0.0
226,11.0,-22.0,11.0,0.0
227,11.0,-22.0,11.0,0.0
228,11.0,-22.0,11.0,0.0
229,11.0,-22.0,11.0,0.0
230,11.0,-22.0,11.0,0.0
231,11.0,-22.0,11.0,0.0
232,11.0,-20.0,10.0,0.0
233,11.0,-30.0,11.0,0.0
234,11.0,-22.0,11.0,0.0
235,11.0,-22.0,11.0,0.0
236,11.0,-20.0,10.0,0.0
237,11.0,-22.0,11.0,0.0
238,11.0,-22.0,11.0,0.0
239,11.0,-22.0,11.0,0.0
240,11.0,-22.0,11.0,0.0
241,11.0,-22.0,11.0,0.0
242,11.0,-30.0,11.0,0.0
243,11.0,-22.0,11.0,0.0
244,11.0,-22.0,11.0,0.0
245,11.0,-22.0,11.0,0.0
246,11.0,-28.0,10.0,0.0
247,11.0,-28.0,10.0,0.0
248,11.0,-30.0,11.0,0.0
249,11.0,-20.0,10.0,0.0
250,11.0,-20.0,6.0,0.0
251,11.0,-30.0,11.0,0.0
252,11.0,-38.0,11.0,0.0
253,11.0,-22.0,11.0,0.0
254,11.0,-30.0,11.0,0.0
255,11.0,-22.0,11.0,0.0
256,11.0,-20.0,10.0,0.0
257,11.0,-22.0,11.0,0.0
258,11.0,-30.0,11.0,0.0
259,11.0,-30.0,11.0,0.0
260,11.0,-20.0,10.0,0.0
261,11.0,-20.0,10.0,0.0
262,11.0,-20.0,10.0,0.0
263,11.0,-24.0,8.0,0.0
264,11.0,-30.0,11.0,0.0
265,11.0,-20.0,10.0,0.0
266,11.0,-30.0,11.0,0.0
267,11.0,-22.0,11.0,0.0
268,11.0,-22.0,11.0,0.0
269,11.0,-22.0,11.0,0.0
270,11.0,-22.0,11.0,0.0
271,11.0,-22.0,11.0,0.0
272,11.0,-22.0,11.0,0.0
273,11.0,-22.0,11.0,0.0
274,11.0,-22.0,11.0,0.0
275,11.0,-20.0,10.0,0.0
276,11.0,-22.0,11.0,0.0
277,11.0,-22.0,11.0,0.0
278,11.0,-22.0,11.0,0.0
279,11.0,-30.0,11.0,0.0
280,11.0,-28.0,10.0,0.0
281,11.0,-30.0,11.0,0.0
282,11.0,-22.0,11.0,0.0
283,11.0,-22.0,11.0,0.0
284,5.0,2.0,4.0,0.0
285,11.0,-22.0,11.0,0.0
286,11.0,-22.0,11.0,0.0
287,11.0,-22.0,11.0,0.0
288,11.0,-22.0,11.0,0.0
289,11.0,-30.0,11.0,0.0
290,11.0,-22.0,11.0,0.0
291,11.0,-22.0,11.0,0.0
292,11.0,-20.0,10.0,0.0
293,11.0,-18.0,9.0,0.0
294,11.0,-38.0,11.0,0.0
295,11.0,-22.0,11.0,0.0
296,11.0,-30.0,11.0,0.0
297,11.0,-22.0,11.0,0.0
298,11.0,-22.0,11.0,0.0
299,11.0,-26.0,9.0,0.0
300,11.0,-22.0,11.0,0.0
301,11.0,-22.0,11.0,0.0
302,11.0,-22.0,11.0,0.0
303,11.0,-30.0,11.0,0.0
304,11.0,-30.0,11.0,0.0
305,11.0,-22.0,11.0,0.0
306,11.0,-22.0,11.0,0.0
307,11.0,-20.0,10.0,0.0
308,11.0,-30.0,11.0,0.0
309,11.0,-22.0,11.0,0.0
310,11.0,-22.0,11.0,0.0
311,11.0,-22.0,11.0,0.0
312,11.0,-22.0,11.0,0.0
313,11.0,-30.0,11.0,0.0
314,11.0,-22.0,11.0,0.0
315,11.0,-22.0,11.0,0.0
316,11.0,-22.0,11.0,0.0
317,11.0,-22.0,11.0,0.0
318,11.0,-30.0,11.0,0.0
319,11.0,-18.0,9.0,0.0
320,11.0,-22.0,11.0,0.0
321,11.0,-22.0,11.0,0.0
322,11.0,-22.0,11.0,0.0
323,11.0,-30.0,11.0,0.0
324,11.0,-30.0,11.0,0.0
325,11.0,-22.0,11.0,0.0
326,11.0,-30.0,11.0,0.0
327,11.0,-22.0,11.0,0.0
328,11.0,-22.0,11.0,0.0
329,11.0,-22.0,11.0,0.0
330,11.0,-22.0,11.0,0.0
331,11.0,-22.0,11.0,0.0
332,11.0,-20.0,10.0,0.0
333,11.0,-22.0,11.0,0.0
334,11.0,-22.0,11.0,0.0
335,11.0,-22.0,11.0,0.0
336,11.0,-22.0,11.0,0.0
337,11.0,-20.0,10.0,0.0
338,11.0,-22.0,11.0,0.0
339,11.0,-22.0,11.0,0.0
340,11.0,-36.0,10.0,0.0
341,11.0,-22.0,11.0,0.0
342,11.0,-22.0,11.0,0.0
343,11.0,-20.0,10.0,0.0
344,11.0,-20.0,10.0,0.0
345,11.0,-22.0,11.0,0.0
346,11.0,-22.0,11.0,0.0
347,11.0,-30.0,11.0,0.0
348,11.0,-22.0,11.0,0.0
349,11.0,-22.0,11.0,0.0
350,11.0,-22.0,11.0,0.0
351,11.0,-22.0,11.0,0.0
352,11.0,-30.0,11.0,0.0
353,11.0,-30.0,11.0,0.0
354,11.0,-30.0,11.0,0.0
355,11.0,-22.0,11.0,0.0
356,11.0,-30.0,11.0,0.0
357,11.0,-22.0,11.0,0.0
358,11.0,-30.0,11.0,0.0
359,11.0,-22.0,11.0,0.0
360,11.0,-22.0,11.0,0.0
361,11.0,-22.0,11.0,0.0
362,11.0,-22.0,11.0,0.0
363,11.0,-22.0,11.0,0.0
364,11.0,-22.0,11.0,0.0
365,11.0,-22.0,11.0,0.0
366,11.0,-22.0,11.0,0.0
367,11.0,-22.0,11.0,0.0
368,11.0,-22.0,11.0,0.0
369,11.0,-22.0,11.0,0.0
370,11.0,-22.0,11.0,0.0
371,11.0,-22.0,11.0,0.0
372,11.0,-22.0,11.0,0.0
373,11.0,-22.0,11.0,0.0
374,11.0,-22.0,11.0,0.0
375,11.0,-30.0,11.0,0.0
376,11.0,-22.0,11.0,0.0
377,11.0,-30.0,11.0,0.0
378,11.0,-22.0,11.0,0.0
379,11.0,-22.0,11.0,0.0
380,11.0,-18.0,9.0,0.0
381,11.0,-22.0,11.0,0.0
382,11.0,-22.0,11.0,0.0
383,11.0,-22.0,11.0,0.0
384,11.0,-22.0,11.0,0.0
385,11.0,-22.0,11.0,0.0
386,11.0,-22.0,11.0,0.0
387,11.0,-22.0,11.0,0.0
388,11.0,-22.0,11.0,0.0
389,11.0,-22.0,11.0,0.0
390,11.0,-22.0,11.0,0.0
391,11.0,-22.0,11.0,0.0
392,11.0,-18.0,9.0,0.0
393,11.0,-22.0,11.0,0.0
394,11.0,-22.0,11.0,0.0
395,11.0,-22.0,11.0,0.0
396,11.0,-20.0,10.0,0.0
397,11.0,-22.0,11.0,0.0
398,11.0,-22.0,11.0,0.0
399,11.0,-22.0,11.0,0.0
400,11.0,-22.0,11.0,0.0
401,11.0,-20.0,10.0,0.0
402,11.0,-30.0,11.0,0.0
403,11.0,-22.0,11.0,0.0
404,11.0,-22.0,11.0,0.0
405,11.0,-22.0,11.0,0.0
406,11.0,-22.0,11.0,0.0
407,11.0,-22.0,11.0,0.0
408,11.0,-22.0,11.0,0.0
409,11.0,-20.0,10.0,0.0
410,11.0,-22.0,11.0,0.0
411,11.0,-22.0,11.0,0.0
412,11.0,-22.0,11.0,0.0
413,11.0,-22.0,11.0,0.0
414,11.0,-22.0,11.0,0.0
415,11.0,-22.0,11.0,0.0
416,11.0,-22.0,11.0,0.0
417,11.0,-28.0,10.0,0.0
418,11.0,-22.0,11.0,0.0
